portname,state,portcode,border,measure,value,location
Calexico East,California,2507,US-Mexico Border,Trucks,34447,POINT (-115.48433000000001 32.67524)
Van Buren,Maine,108,US-Canada Border,Rail Containers Full,428,POINT (-67.94271 47.16207)
Otay Mesa,California,2506,US-Mexico Border,Trucks,81217,POINT (-117.05333 32.57333)
Nogales,Arizona,2604,US-Mexico Border,Trains,62,POINT (-110.93361 31.340279999999996)
Trout River,New York,715,US-Canada Border,Personal Vehicle Passengers,16377,POINT (-73.44253 44.990010000000005)
Madawaska,Maine,109,US-Canada Border,Trucks,179,POINT (-68.3271 47.35446)
Pembina,North Dakota,3401,US-Canada Border,Bus Passengers,1054,POINT (-97.24333 48.96639)
Progreso,Texas,2309,US-Mexico Border,Truck Containers Empty,1808,POINT (-97.94889 26.061670000000003)
Portal,North Dakota,3403,US-Canada Border,Rail Containers Empty,6685,POINT (-102.54917 48.99583)
Champlain-Rouses Point,New York,712,US-Canada Border,Trucks,24759,POINT (-73.44694 44.98639)
Opheim,Montana,3317,US-Canada Border,Personal Vehicles,235,POINT (-106.40265 48.85574)
Neche,North Dakota,3404,US-Canada Border,Trucks,584,POINT (-97.55444 48.98611)
Lancaster,Minnesota,3430,US-Canada Border,Personal Vehicles,1612,POINT (-96.82024 48.84911000000001)
Derby Line,Vermont,209,US-Canada Border,Buses,80,POINT (-72.09944 45.005)
Sarles,North Dakota,3409,US-Canada Border,Personal Vehicle Passengers,509,POINT (-98.99457 48.941050000000004)
Wildhorse,Montana,3323,US-Canada Border,Truck Containers Full,122,POINT (-109.67761 48.54863)
Derby Line,Vermont,209,US-Canada Border,Truck Containers Full,6483,POINT (-72.09944 45.005)
Lynden,Washington,3023,US-Canada Border,Pedestrians,79,POINT (-122.44316000000002 48.94802)
Vanceboro,Maine,105,US-Canada Border,Pedestrians,3,POINT (-67.42955 45.55984)
San Ysidro,California,2504,US-Mexico Border,Bus Passengers,7779,POINT (-117.02666999999998 32.54306)
Scobey,Montana,3309,US-Canada Border,Personal Vehicles,325,POINT (-105.44272 48.80707)
Beecher Falls,Vermont,206,US-Canada Border,Trucks,901,POINT (-71.49664 45.00808)
Calais,Maine,115,US-Canada Border,Train Passengers,30,POINT (-67.27917 45.18889)
Massena,New York,704,US-Canada Border,Truck Containers Full,1489,POINT (-74.74 44.98944)
Oroville,Washington,3019,US-Canada Border,Buses,12,POINT (-119.43444 48.93917)
Hansboro,North Dakota,3415,US-Canada Border,Truck Containers Full,1,POINT (-99.38250000000001 48.95)
Ferry,Washington,3013,US-Canada Border,Personal Vehicles,601,POINT (-118.58774 48.88627)
Pembina,North Dakota,3401,US-Canada Border,Trucks,19150,POINT (-97.24333 48.96639)
Tecate,California,2505,US-Mexico Border,Truck Containers Empty,1993,POINT (-116.62667 32.57722)
Eastport,Idaho,3302,US-Canada Border,Trains,101,POINT (-116.18027999999998 48.99944)
Walhalla,North Dakota,3407,US-Canada Border,Personal Vehicles,2399,POINT (-97.91778 48.92333)
Calais,Maine,115,US-Canada Border,Trains,15,POINT (-67.27917 45.18889)
Roma,Texas,2310,US-Mexico Border,Truck Containers Empty,740,POINT (-99.01833 26.40361)
Naco,Arizona,2603,US-Mexico Border,Truck Containers Empty,139,POINT (-109.9475 31.335280000000004)
Boquillas,Texas,2410,US-Mexico Border,Pedestrians,4362,POINT (-102.95 29.190000000000005)
Raymond,Montana,3301,US-Canada Border,Buses,1,POINT (-104.575 48.99667)
Porthill,Idaho,3308,US-Canada Border,Truck Containers Empty,282,POINT (-116.49828 48.99282)
Norton,Vermont,211,US-Canada Border,Personal Vehicles,1350,POINT (-71.79528000000002 45.01)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Truck Containers Empty,769,POINT (-84.29889 46.47028)
Antler,North Dakota,3413,US-Canada Border,Truck Containers Full,9,POINT (-101.28194 48.97083)
Otay Mesa,California,2506,US-Mexico Border,Personal Vehicles,573597,POINT (-117.05333 32.57333)
Eastport,Idaho,3302,US-Canada Border,Pedestrians,200,POINT (-116.18027999999998 48.99944)
Rio Grande City,Texas,2307,US-Mexico Border,Pedestrians,4762,POINT (-98.82 26.37944)
Portal,North Dakota,3403,US-Canada Border,Trains,135,POINT (-102.54917 48.99583)
Del Rio,Texas,2302,US-Mexico Border,Truck Containers Full,5295,POINT (-100.89639 29.3625)
Sasabe,Arizona,2606,US-Mexico Border,Personal Vehicle Passengers,4658,POINT (-111.54139 31.48861)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Truck Containers Full,3362,POINT (-84.29889 46.47028)
Highgate Springs-Alburg,Vermont,212,US-Canada Border,Trains,25,POINT (-73.10583 44.979440000000004)
Madawaska,Maine,109,US-Canada Border,Personal Vehicle Passengers,44387,POINT (-68.3271 47.35446)
Sasabe,Arizona,2606,US-Mexico Border,Pedestrians,23,POINT (-111.54139 31.48861)
Del Bonita,Montana,3322,US-Canada Border,Truck Containers Full,39,POINT (-112.32481 48.63274)
Vanceboro,Maine,105,US-Canada Border,Personal Vehicles,1476,POINT (-67.42955 45.55984)
Neche,North Dakota,3404,US-Canada Border,Buses,2,POINT (-97.55444 48.98611)
Houlton,Maine,106,US-Canada Border,Truck Containers Full,5778,POINT (-67.84083 46.12611)
Norton,Vermont,211,US-Canada Border,Trains,19,POINT (-71.79528000000002 45.01)
Del Rio,Texas,2302,US-Mexico Border,Personal Vehicle Passengers,259047,POINT (-100.89639 29.3625)
Houlton,Maine,106,US-Canada Border,Bus Passengers,669,POINT (-67.84083 46.12611)
Metaline Falls,Washington,3025,US-Canada Border,Personal Vehicles,2300,POINT (-117.36037000000002 48.85798)
Houlton,Maine,106,US-Canada Border,Personal Vehicles,15491,POINT (-67.84083 46.12611)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Personal Vehicles,48965,POINT (-84.29889 46.47028)
Fort Fairfield,Maine,107,US-Canada Border,Personal Vehicles,7165,POINT (-67.82965 46.76891)
Noonan,North Dakota,3420,US-Canada Border,Bus Passengers,8,POINT (-103.00333 48.88232)
Westhope,North Dakota,3419,US-Canada Border,Trucks,861,POINT (-101.02001 48.9094)
Van Buren,Maine,108,US-Canada Border,Personal Vehicles,11095,POINT (-67.94271 47.16207)
Massena,New York,704,US-Canada Border,Truck Containers Empty,491,POINT (-74.74 44.98944)
Blaine,Washington,3004,US-Canada Border,Trucks,31601,POINT (-122.74583 48.99389)
Douglas,Arizona,2601,US-Mexico Border,Trucks,2175,POINT (-109.54472 31.344439999999995)
Port Huron,Michigan,3802,US-Canada Border,Rail Containers Full,22879,POINT (-82.47889 42.97583)
Champlain-Rouses Point,New York,712,US-Canada Border,Truck Containers Full,22955,POINT (-73.44694 44.98639)
Champlain-Rouses Point,New York,712,US-Canada Border,Personal Vehicles,65555,POINT (-73.44694 44.98639)
Nogales,Arizona,2604,US-Mexico Border,Truck Containers Empty,5928,POINT (-110.93361 31.340279999999996)
Scobey,Montana,3309,US-Canada Border,Truck Containers Full,3,POINT (-105.44272 48.80707)
Del Bonita,Montana,3322,US-Canada Border,Personal Vehicles,1540,POINT (-112.32481 48.63274)
Bridgewater,Maine,127,US-Canada Border,Truck Containers Empty,319,POINT (-67.84262 46.41923)
Santa Teresa,New Mexico,2408,US-Mexico Border,Personal Vehicle Passengers,109340,POINT (-106.67903 31.850000000000005)
Otay Mesa,California,2506,US-Mexico Border,Buses,916,POINT (-117.05333 32.57333)
San Ysidro,California,2504,US-Mexico Border,Buses,3329,POINT (-117.02666999999998 32.54306)
Nogales,Arizona,2604,US-Mexico Border,Bus Passengers,17479,POINT (-110.93361 31.340279999999996)
Lukeville,Arizona,2602,US-Mexico Border,Personal Vehicles,46128,POINT (-112.81500000000001 31.8825)
Roseau,Minnesota,3426,US-Canada Border,Personal Vehicles,2658,POINT (-95.81074 48.77518)
Skagway,Alaska,3103,US-Canada Border,Personal Vehicle Passengers,3077,POINT (-135.30656 59.47196999999999)
Fortuna,North Dakota,3417,US-Canada Border,Truck Containers Empty,26,POINT (-103.77906 48.91086)
Frontier,Washington,3020,US-Canada Border,Trucks,1873,POINT (-117.78134000000001 48.910160000000005)
Vanceboro,Maine,105,US-Canada Border,Trains,28,POINT (-67.42955 45.55984)
Baudette,Minnesota,3424,US-Canada Border,Bus Passengers,196,POINT (-94.72512 48.70731)
Sarles,North Dakota,3409,US-Canada Border,Buses,9,POINT (-98.99457 48.941050000000004)
Fort Kent,Maine,110,US-Canada Border,Bus Passengers,13,POINT (-68.58458 47.26878)
Grand Portage,Minnesota,3613,US-Canada Border,Truck Containers Full,697,POINT (-89.68472000000001 47.96389)
Buffalo-Niagara Falls,New York,901,US-Canada Border,Train Passengers,1099,POINT (-79.05694 43.09444)
Calexico,California,2503,US-Mexico Border,Pedestrians,346158,POINT (-115.49806000000001 32.67889)
Massena,New York,704,US-Canada Border,Personal Vehicle Passengers,118275,POINT (-74.74 44.98944)
Otay Mesa,California,2506,US-Mexico Border,Pedestrians,306812,POINT (-117.05333 32.57333)
Pinecreek,Minnesota,3425,US-Canada Border,Truck Containers Empty,14,POINT (-95.81074 48.77518)
Calexico East,California,2507,US-Mexico Border,Truck Containers Full,20256,POINT (-115.48433000000001 32.67524)
Otay Mesa,California,2506,US-Mexico Border,Truck Containers Full,63197,POINT (-117.05333 32.57333)
Otay Mesa,California,2506,US-Mexico Border,Truck Containers Empty,22225,POINT (-117.05333 32.57333)
Douglas,Arizona,2601,US-Mexico Border,Truck Containers Full,1639,POINT (-109.54472 31.344439999999995)
Grand Portage,Minnesota,3613,US-Canada Border,Personal Vehicle Passengers,30064,POINT (-89.68472000000001 47.96389)
Northgate,North Dakota,3406,US-Canada Border,Pedestrians,7,POINT (-102.39634 48.89848)
Port Huron,Michigan,3802,US-Canada Border,Rail Containers Empty,16839,POINT (-82.47889 42.97583)
Sarles,North Dakota,3409,US-Canada Border,Truck Containers Full,54,POINT (-98.99457 48.941050000000004)
Pembina,North Dakota,3401,US-Canada Border,Personal Vehicles,20513,POINT (-97.24333 48.96639)
Sherwood,North Dakota,3414,US-Canada Border,Truck Containers Empty,320,POINT (-101.55954000000001 48.99719)
Laurier,Washington,3016,US-Canada Border,Truck Containers Full,129,POINT (-118.22302 48.99892)
Santa Teresa,New Mexico,2408,US-Mexico Border,Truck Containers Full,8698,POINT (-106.67903 31.850000000000005)
Beecher Falls,Vermont,206,US-Canada Border,Truck Containers Empty,421,POINT (-71.49664 45.00808)
Del Rio,Texas,2302,US-Mexico Border,Buses,1,POINT (-100.89639 29.3625)
Trout River,New York,715,US-Canada Border,Rail Containers Empty,682,POINT (-73.44253 44.990010000000005)
Calexico East,California,2507,US-Mexico Border,Personal Vehicles,285861,POINT (-115.48433000000001 32.67524)
Detroit,Michigan,3801,US-Canada Border,Truck Containers Full,92794,POINT (-83.10222 42.38306000000001)
Jackman,Maine,104,US-Canada Border,Buses,8,POINT (-70.255 45.62389)
Tecate,California,2505,US-Mexico Border,Personal Vehicles,92015,POINT (-116.62667 32.57722)
Skagway,Alaska,3103,US-Canada Border,Personal Vehicles,1411,POINT (-135.30656 59.47196999999999)
Ambrose,North Dakota,3410,US-Canada Border,Personal Vehicle Passengers,128,POINT (-103.48222 48.95389)
Turner,Montana,3306,US-Canada Border,Trucks,35,POINT (-108.40599 48.84361)
Fort Kent,Maine,110,US-Canada Border,Buses,1,POINT (-68.58458 47.26878)
Porthill,Idaho,3308,US-Canada Border,Trucks,310,POINT (-116.49828 48.99282)
Wildhorse,Montana,3323,US-Canada Border,Personal Vehicle Passengers,1235,POINT (-109.67761 48.54863)
Dunseith,North Dakota,3422,US-Canada Border,Trucks,2057,POINT (-100.05863 48.81369)
Rio Grande City,Texas,2307,US-Mexico Border,Truck Containers Empty,814,POINT (-98.82 26.37944)
Walhalla,North Dakota,3407,US-Canada Border,Truck Containers Full,173,POINT (-97.91778 48.92333)
Boundary,Washington,3015,US-Canada Border,Truck Containers Empty,19,POINT (-117.89655000000002 48.54648)
Sumas,Washington,3009,US-Canada Border,Personal Vehicle Passengers,128892,POINT (-122.26361 49.00028)
Sarles,North Dakota,3409,US-Canada Border,Truck Containers Empty,21,POINT (-98.99457 48.941050000000004)
Fortuna,North Dakota,3417,US-Canada Border,Personal Vehicle Passengers,1504,POINT (-103.77906 48.91086)
Bridgewater,Maine,127,US-Canada Border,Personal Vehicles,3302,POINT (-67.84262 46.41923)
Ambrose,North Dakota,3410,US-Canada Border,Personal Vehicles,78,POINT (-103.48222 48.95389)
Buffalo-Niagara Falls,New York,901,US-Canada Border,Trucks,77292,POINT (-79.05694 43.09444)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Train Passengers,62,POINT (-84.29889 46.47028)
Eastport,Idaho,3302,US-Canada Border,Train Passengers,200,POINT (-116.18027999999998 48.99944)
Douglas,Arizona,2601,US-Mexico Border,Personal Vehicles,144173,POINT (-109.54472 31.344439999999995)
Vanceboro,Maine,105,US-Canada Border,Truck Containers Empty,12,POINT (-67.42955 45.55984)
Trout River,New York,715,US-Canada Border,Personal Vehicles,8961,POINT (-73.44253 44.990010000000005)
Buffalo-Niagara Falls,New York,901,US-Canada Border,Personal Vehicle Passengers,754845,POINT (-79.05694 43.09444)
Grand Portage,Minnesota,3613,US-Canada Border,Truck Containers Empty,302,POINT (-89.68472000000001 47.96389)
Alexandria Bay,New York,708,US-Canada Border,Personal Vehicles,37199,POINT (-75.91806 44.33583)
Eagle Pass,Texas,2303,US-Mexico Border,Trains,282,POINT (-100.49917 28.70889)
Portal,North Dakota,3403,US-Canada Border,Personal Vehicles,4191,POINT (-102.54917 48.99583)
Sumas,Washington,3009,US-Canada Border,Truck Containers Full,10943,POINT (-122.26361 49.00028)
Carbury,North Dakota,3421,US-Canada Border,Personal Vehicle Passengers,2231,POINT (-100.68648 48.90957)
Boundary,Washington,3015,US-Canada Border,Trucks,20,POINT (-117.89655000000002 48.54648)
Massena,New York,704,US-Canada Border,Personal Vehicles,69627,POINT (-74.74 44.98944)
Carbury,North Dakota,3421,US-Canada Border,Truck Containers Empty,100,POINT (-100.68648 48.90957)
Jackman,Maine,104,US-Canada Border,Personal Vehicle Passengers,12881,POINT (-70.255 45.62389)
Sweetgrass,Montana,3310,US-Canada Border,Trains,32,POINT (-111.95972 48.99611000000001)
Trout River,New York,715,US-Canada Border,Truck Containers Full,437,POINT (-73.44253 44.990010000000005)
Calais,Maine,115,US-Canada Border,Rail Containers Full,18,POINT (-67.27917 45.18889)
Piegan,Montana,3316,US-Canada Border,Personal Vehicle Passengers,8140,POINT (-113.43406 48.85152)
Northgate,North Dakota,3406,US-Canada Border,Truck Containers Empty,534,POINT (-102.39634 48.89848)
Sumas,Washington,3009,US-Canada Border,Trucks,13179,POINT (-122.26361 49.00028)
